,ligand_name,sequence_id,label
0,0,0,1
1,0,1,1
2,0,2,1
3,0,3,1
4,0,4,1
5,0,5,1
6,0,6,1
7,0,7,1
8,0,8,1
9,0,9,1
10,0,10,1
11,0,11,1
12,0,12,1
13,0,13,1
14,0,14,1
15,0,15,1
16,0,16,1
17,0,17,1
18,0,18,1
19,0,19,1
20,0,20,1
21,0,21,1
22,0,22,1
23,0,23,1
24,0,24,1
25,0,25,1
26,0,26,1
27,0,27,1
28,0,28,1
29,0,29,1
30,0,30,1
31,2,77,1
32,2,78,1
33,2,79,1
34,2,80,1
35,2,81,1
36,2,82,1
37,2,83,1
38,2,84,1
39,2,85,1
40,2,86,1
41,2,87,1
42,2,88,1
43,2,89,1
44,2,90,1
45,2,91,1
46,2,92,1
47,2,93,1
48,2,94,1
49,2,95,1
50,2,96,1
51,2,97,1
52,2,98,1
53,2,99,1
54,2,100,1
55,2,101,1
56,2,102,1
57,2,103,1
58,2,104,1
59,2,105,1
60,2,106,1
61,2,107,1
62,3,108,1
63,3,109,1
64,3,110,1
65,5,116,1
66,5,117,1
67,6,118,1
68,9,120,1
69,9,121,1
70,9,122,1
71,9,123,1
72,9,124,1
73,9,125,1
74,9,126,1
75,9,127,1
76,9,128,1
77,9,129,1
78,9,130,1
79,9,131,1
80,9,132,1
81,9,133,1
82,9,134,1
83,9,135,1
84,9,136,1
85,9,137,1
86,9,138,1
87,9,139,1
88,9,140,1
89,9,141,1
90,9,142,1
91,9,143,1
92,9,144,1
93,9,145,1
94,9,146,1
95,9,147,1
96,9,148,1
97,9,149,1
98,9,150,1
99,9,151,1
100,9,152,1
101,9,153,1
102,9,154,1
103,9,155,1
104,9,156,1
105,9,157,1
106,9,158,1
107,9,159,1
108,9,160,1
109,9,161,1
110,9,162,1
111,9,163,1
112,9,164,1
113,9,165,1
114,9,166,1
115,9,167,1
116,9,168,1
117,9,169,1
118,9,170,1
119,9,171,1
120,9,172,1
121,9,173,1
122,9,174,1
123,9,175,1
124,9,176,1
125,9,177,1
126,9,178,1
127,9,179,1
128,9,180,1
129,9,181,1
130,9,182,1
131,9,183,1
132,9,184,1
133,10,185,1
134,10,186,1
135,10,187,1
136,10,188,1
137,10,189,1
138,10,190,1
139,10,191,1
140,10,192,1
141,10,193,1
142,10,194,1
143,10,195,1
144,10,196,1
145,10,197,1
146,10,198,1
147,10,199,1
148,10,200,1
149,10,201,1
150,10,202,1
151,10,203,1
152,10,204,1
153,10,205,1
154,10,206,1
155,10,207,1
156,10,208,1
157,10,209,1
158,10,210,1
159,10,211,1
160,10,212,1
161,10,213,1
162,10,214,1
163,10,215,1
164,10,216,1
165,10,217,1
166,10,218,1
167,10,219,1
168,10,220,1
169,10,221,1
170,10,222,1
171,10,223,1
172,10,224,1
173,10,225,1
174,10,226,1
175,10,227,1
176,10,228,1
177,10,229,1
178,10,230,1
179,10,231,1
180,10,232,1
181,10,233,1
182,11,234,1
183,11,235,1
184,11,236,1
185,11,237,1
186,11,238,1
187,11,239,1
188,11,240,1
189,11,241,1
190,11,242,1
191,11,243,1
192,11,244,1
193,11,245,1
194,11,246,1
195,11,247,1
196,11,248,1
197,11,249,1
198,11,250,1
199,11,251,1
200,11,252,1
201,11,253,1
202,11,254,1
203,11,255,1
204,11,256,1
205,11,257,1
206,11,258,1
207,11,259,1
208,11,260,1
209,11,261,1
210,11,262,1
211,11,263,1
